support,pattern
22,"[69, 34, 26]"
22,"[69, 34, 50]"
24,"[69, 34, 60]"
13,"[69, 34, 36]"
13,"[69, 34, 64]"
24,"[69, 34, 32]"
22,"[69, 34, 18]"
22,"[69, 34, 8]"
26,"[69, 34, 27]"
29,"[69, 34, 17]"
25,"[69, 34, 0]"
13,"[69, 34, 3]"
12,"[69, 34, 1]"
30,"[69, 34, 29]"
29,"[69, 34, 6]"
24,"[69, 34, 10]"
19,"[69, 34, 12]"
15,"[69, 34, 51]"
23,"[69, 34, 56]"
12,"[69, 34, 57]"
21,"[69, 34, 35]"
20,"[69, 34, 58]"
23,"[69, 34, 49]"
20,"[69, 34, 55]"
20,"[69, 34, 4]"
24,"[69, 34, 34]"
15,"[69, 34, 13]"
21,"[69, 34, 53]"
12,"[69, 34, 16]"
14,"[69, 34, 14]"
13,"[69, 34, 7]"
33,"[69, 33]"
32,"[69, 33, 28]"
24,"[69, 33, 33]"
18,"[69, 33, 62]"
31,"[69, 33, 54]"
33,"[69, 33, 70]"
26,"[69, 33, 69]"
21,"[69, 33, 42]"
32,"[69, 33, 25]"
30,"[69, 33, 48]"
26,"[69, 33, 20]"
26,"[69, 33, 37]"
20,"[69, 33, 26]"
20,"[69, 33, 50]"
20,"[69, 33, 60]"
12,"[69, 33, 36]"
13,"[69, 33, 64]"
23,"[69, 33, 32]"
21,"[69, 33, 18]"
20,"[69, 33, 8]"
25,"[69, 33, 27]"
27,"[69, 33, 17]"
24,"[69, 33, 0]"
13,"[69, 33, 3]"
30,"[69, 33, 29]"
27,"[69, 33, 6]"
22,"[69, 33, 10]"
19,"[69, 33, 12]"
14,"[69, 33, 51]"
21,"[69, 33, 56]"
19,"[69, 33, 35]"
18,"[69, 33, 58]"
20,"[69, 33, 49]"
18,"[69, 33, 55]"
20,"[69, 33, 4]"
21,"[69, 33, 34]"
15,"[69, 33, 13]"
20,"[69, 33, 53]"
12,"[69, 33, 14]"
37,"[69, 28]"
25,"[69, 28, 33]"
18,"[69, 28, 62]"
27,"[69, 28, 28]"
33,"[69, 28, 54]"
36,"[69, 28, 70]"
27,"[69, 28, 69]"
22,"[69, 28, 42]"
32,"[69, 28, 25]"
31,"[69, 28, 48]"
24,"[69, 28, 20]"
26,"[69, 28, 37]"
21,"[69, 28, 26]"
22,"[69, 28, 50]"
21,"[69, 28, 60]"
12,"[69, 28, 36]"
14,"[69, 28, 64]"
23,"[69, 28, 32]"
21,"[69, 28, 18]"
20,"[69, 28, 8]"
25,"[69, 28, 27]"
29,"[69, 28, 17]"
25,"[69, 28, 0]"
13,"[69, 28, 3]"
30,"[69, 28, 29]"
29,"[69, 28, 6]"
22,"[69, 28, 10]"
20,"[69, 28, 12]"
15,"[69, 28, 51]"
21,"[69, 28, 56]"
18,"[69, 28, 35]"
18,"[69, 28, 58]"
22,"[69, 28, 49]"
21,"[69, 28, 55]"
20,"[69, 28, 4]"
21,"[69, 28, 34]"
16,"[69, 28, 13]"
21,"[69, 28, 53]"
12,"[69, 28, 16]"
12,"[69, 28, 14]"
34,"[69, 54]"
16,"[69, 54, 62]"
25,"[69, 54, 28]"
29,"[69, 54, 54]"
34,"[69, 54, 70]"
24,"[69, 54, 69]"
19,"[69, 54, 42]"
23,"[69, 54, 25]"
26,"[69, 54, 48]"
22,"[69, 54, 20]"
21,"[69, 54, 37]"
17,"[69, 54, 26]"
17,"[69, 54, 50]"
19,"[69, 54, 60]"
12,"[69, 54, 36]"
12,"[69, 54, 64]"
21,"[69, 54, 32]"
19,"[69, 54, 18]"
20,"[69, 54, 8]"
23,"[69, 54, 27]"
28,"[69, 54, 17]"
24,"[69, 54, 0]"
12,"[69, 54, 3]"
28,"[69, 54, 29]"
27,"[69, 54, 6]"
19,"[69, 54, 10]"
18,"[69, 54, 12]"
12,"[69, 54, 51]"
19,"[69, 54, 56]"
14,"[69, 54, 35]"
13,"[69, 54, 58]"
21,"[69, 54, 49]"
19,"[69, 54, 55]"
13,"[69, 54, 13]"
15,"[69, 54, 53]"
23,"[69, 54, 33]"
19,"[69, 54, 4]"
20,"[69, 54, 34]"
37,"[69, 69]"
15,"[69, 69, 66]"
33,"[69, 69, 42]"
20,"[69, 69, 62]"
33,"[69, 69, 54]"
34,"[69, 69, 25]"
36,"[69, 69, 28]"
34,"[69, 69, 48]"
27,"[69, 69, 20]"
28,"[69, 69, 37]"
37,"[69, 69, 70]"
23,"[69, 69, 26]"
22,"[69, 69, 50]"
26,"[69, 69, 60]"
14,"[69, 69, 36]"
14,"[69, 69, 64]"
33,"[69, 69, 32]"
33,"[69, 69, 18]"
33,"[69, 69, 8]"
32,"[69, 69, 27]"
35,"[69, 69, 17]"
35,"[69, 69, 0]"
20,"[69, 69, 3]"
15,"[69, 69, 1]"
35,"[69, 69, 29]"
33,"[69, 69, 6]"
33,"[69, 69, 10]"
34,"[69, 69, 69]"
27,"[69, 69, 12]"
31,"[69, 69, 51]"
16,"[69, 69, 11]"
32,"[69, 69, 56]"
19,"[69, 69, 57]"
28,"[69, 69, 35]"
26,"[69, 69, 58]"
24,"[69, 69, 49]"
21,"[69, 69, 55]"
13,"[69, 69, 21]"
32,"[69, 69, 13]"
33,"[69, 69, 53]"
22,"[69, 69, 43]"
20,"[69, 69, 15]"
24,"[69, 69, 14]"
32,"[69, 69, 34]"
32,"[69, 69, 33]"
14,"[69, 69, 31]"
27,"[69, 69, 4]"
12,"[69, 69, 39]"
12,"[69, 69, 5]"
18,"[69, 69, 9]"
20,"[69, 69, 7]"
14,"[69, 69, 59]"
21,"[69, 69, 16]"
18,"[69, 69, 68]"
34,"[69, 25]"
28,"[69, 25, 28]"
30,"[69, 25, 48]"
19,"[69, 25, 62]"
25,"[69, 25, 20]"
27,"[69, 25, 37]"
34,"[69, 25, 70]"
18,"[69, 25, 26]"
18,"[69, 25, 50]"
20,"[69, 25, 60]"
12,"[69, 25, 36]"
13,"[69, 25, 64]"
23,"[69, 25, 32]"
20,"[69, 25, 18]"
20,"[69, 25, 8]"
25,"[69, 25, 27]"
27,"[69, 25, 17]"
24,"[69, 25, 0]"
13,"[69, 25, 3]"
12,"[69, 25, 1]"
30,"[69, 25, 29]"
27,"[69, 25, 6]"
20,"[69, 25, 10]"
25,"[69, 25, 69]"
18,"[69, 25, 12]"
12,"[69, 25, 51]"
21,"[69, 25, 56]"
26,"[69, 25, 25]"
18,"[69, 25, 35]"
19,"[69, 25, 58]"
22,"[69, 25, 49]"
19,"[69, 25, 55]"
24,"[69, 25, 33]"
20,"[69, 25, 4]"
20,"[69, 25, 34]"
28,"[69, 25, 54]"
14,"[69, 25, 13]"
18,"[69, 25, 53]"
17,"[69, 25, 42]"
34,"[69, 48]"
15,"[69, 48, 62]"
28,"[69, 48, 48]"
21,"[69, 48, 20]"
24,"[69, 48, 37]"
34,"[69, 48, 70]"
18,"[69, 48, 26]"
18,"[69, 48, 50]"
21,"[69, 48, 60]"
22,"[69, 48, 32]"
18,"[69, 48, 18]"
19,"[69, 48, 8]"
24,"[69, 48, 27]"
28,"[69, 48, 17]"
25,"[69, 48, 0]"
12,"[69, 48, 3]"
29,"[69, 48, 29]"
28,"[69, 48, 6]"
20,"[69, 48, 10]"
25,"[69, 48, 69]"
18,"[69, 48, 12]"
20,"[69, 48, 56]"
26,"[69, 48, 25]"
27,"[69, 48, 28]"
14,"[69, 48, 35]"
15,"[69, 48, 58]"
20,"[69, 48, 49]"
21,"[69, 48, 55]"
20,"[69, 48, 33]"
21,"[69, 48, 4]"
18,"[69, 48, 34]"
29,"[69, 48, 54]"
12,"[69, 48, 13]"
15,"[69, 48, 53]"
18,"[69, 48, 42]"
28,"[69, 20]"
25,"[69, 20, 37]"
19,"[69, 20, 20]"
28,"[69, 20, 70]"
16,"[69, 20, 62]"
19,"[69, 20, 26]"
19,"[69, 20, 50]"
20,"[69, 20, 60]"
13,"[69, 20, 36]"
21,"[69, 20, 32]"
20,"[69, 20, 18]"
19,"[69, 20, 8]"
23,"[69, 20, 27]"
25,"[69, 20, 17]"
22,"[69, 20, 0]"
12,"[69, 20, 3]"
27,"[69, 20, 29]"
24,"[69, 20, 6]"
21,"[69, 20, 10]"
22,"[69, 20, 69]"
16,"[69, 20, 12]"
18,"[69, 20, 56]"
23,"[69, 20, 25]"
25,"[69, 20, 48]"
25,"[69, 20, 28]"
17,"[69, 20, 35]"
15,"[69, 20, 58]"
19,"[69, 20, 49]"
15,"[69, 20, 55]"
19,"[69, 20, 4]"
23,"[69, 20, 54]"
15,"[69, 20, 42]"
14,"[69, 20, 53]"
22,"[69, 20, 33]"
20,"[69, 20, 34]"
29,"[69, 37]"
16,"[69, 37, 20]"
29,"[69, 37, 70]"
14,"[69, 37, 62]"
18,"[69, 37, 26]"
15,"[69, 37, 50]"
24,"[69, 37, 60]"
12,"[69, 37, 36]"
19,"[69, 37, 32]"
18,"[69, 37, 18]"
17,"[69, 37, 8]"
22,"[69, 37, 27]"
25,"[69, 37, 17]"
22,"[69, 37, 0]"
25,"[69, 37, 29]"
24,"[69, 37, 6]"
18,"[69, 37, 10]"
19,"[69, 37, 69]"
14,"[69, 37, 12]"
16,"[69, 37, 56]"
22,"[69, 37, 25]"
24,"[69, 37, 48]"
23,"[69, 37, 28]"
14,"[69, 37, 35]"
12,"[69, 37, 58]"
18,"[69, 37, 49]"
18,"[69, 37, 55]"
19,"[69, 37, 4]"
22,"[69, 37, 54]"
13,"[69, 37, 42]"
19,"[69, 37, 33]"
17,"[69, 37, 34]"
14,"[69, 37, 37]"
24,"[69, 26]"
20,"[69, 26, 50]"
13,"[69, 26, 60]"
16,"[69, 26, 32]"
14,"[69, 26, 18]"
