support,pattern
35,"[69, 25, 55]"
33,"[69, 25, 20]"
33,"[69, 25, 37]"
29,"[69, 25, 26]"
27,"[69, 25, 50]"
29,"[69, 25, 8]"
35,"[69, 25, 27]"
47,"[69, 25, 17]"
44,"[69, 25, 29]"
39,"[69, 25, 69]"
40,"[69, 25, 0]"
22,"[69, 25, 10]"
25,"[69, 25, 56]"
29,"[69, 25, 35]"
25,"[69, 25, 58]"
16,"[69, 25, 1]"
27,"[69, 25, 60]"
28,"[69, 25, 4]"
22,"[69, 25, 3]"
38,"[69, 25, 6]"
18,"[69, 25, 7]"
26,"[69, 25, 34]"
30,"[69, 25, 33]"
35,"[69, 25, 28]"
22,"[69, 25, 13]"
21,"[69, 25, 53]"
27,"[69, 25, 42]"
23,"[69, 25, 12]"
23,"[69, 25, 51]"
17,"[69, 25, 36]"
17,"[69, 25, 63]"
40,"[69, 49]"
26,"[69, 49, 48]"
22,"[69, 49, 49]"
18,"[69, 49, 25]"
37,"[69, 49, 70]"
30,"[69, 49, 54]"
19,"[69, 49, 32]"
32,"[69, 49, 55]"
20,"[69, 49, 20]"
17,"[69, 49, 37]"
17,"[69, 49, 26]"
17,"[69, 49, 50]"
17,"[69, 49, 8]"
25,"[69, 49, 27]"
34,"[69, 49, 17]"
33,"[69, 49, 29]"
31,"[69, 49, 69]"
27,"[69, 49, 0]"
20,"[69, 49, 4]"
24,"[69, 49, 6]"
19,"[69, 49, 33]"
19,"[69, 49, 28]"
16,"[69, 49, 13]"
17,"[69, 49, 53]"
16,"[69, 49, 12]"
16,"[69, 49, 42]"
18,"[69, 49, 51]"
50,"[69, 48]"
37,"[69, 48, 49]"
40,"[69, 48, 48]"
35,"[69, 48, 25]"
49,"[69, 48, 70]"
42,"[69, 48, 54]"
27,"[69, 48, 32]"
27,"[69, 48, 18]"
34,"[69, 48, 55]"
32,"[69, 48, 20]"
30,"[69, 48, 37]"
28,"[69, 48, 26]"
26,"[69, 48, 50]"
27,"[69, 48, 8]"
32,"[69, 48, 27]"
46,"[69, 48, 17]"
44,"[69, 48, 29]"
40,"[69, 48, 69]"
40,"[69, 48, 0]"
21,"[69, 48, 10]"
23,"[69, 48, 56]"
25,"[69, 48, 35]"
22,"[69, 48, 58]"
26,"[69, 48, 60]"
27,"[69, 48, 4]"
22,"[69, 48, 3]"
36,"[69, 48, 6]"
16,"[69, 48, 7]"
23,"[69, 48, 34]"
28,"[69, 48, 33]"
31,"[69, 48, 28]"
21,"[69, 48, 13]"
22,"[69, 48, 53]"
24,"[69, 48, 42]"
22,"[69, 48, 12]"
23,"[69, 48, 51]"
51,"[69, 54]"
28,"[69, 54, 32]"
27,"[69, 54, 18]"
49,"[69, 54, 70]"
36,"[69, 54, 55]"
39,"[69, 54, 54]"
35,"[69, 54, 20]"
31,"[69, 54, 37]"
32,"[69, 54, 26]"
30,"[69, 54, 50]"
27,"[69, 54, 8]"
33,"[69, 54, 27]"
46,"[69, 54, 17]"
44,"[69, 54, 29]"
42,"[69, 54, 69]"
38,"[69, 54, 48]"
40,"[69, 54, 0]"
33,"[69, 54, 49]"
25,"[69, 54, 10]"
27,"[69, 54, 56]"
25,"[69, 54, 35]"
20,"[69, 54, 58]"
26,"[69, 54, 60]"
26,"[69, 54, 4]"
23,"[69, 54, 3]"
34,"[69, 54, 6]"
17,"[69, 54, 7]"
24,"[69, 54, 34]"
26,"[69, 54, 33]"
33,"[69, 54, 28]"
34,"[69, 54, 25]"
27,"[69, 54, 13]"
24,"[69, 54, 53]"
26,"[69, 54, 42]"
24,"[69, 54, 12]"
23,"[69, 54, 51]"
18,"[69, 54, 36]"
17,"[69, 54, 63]"
52,"[69, 32]"
47,"[69, 32, 18]"
51,"[69, 32, 70]"
36,"[69, 32, 55]"
47,"[69, 32, 54]"
39,"[69, 32, 20]"
35,"[69, 32, 37]"
33,"[69, 32, 26]"
28,"[69, 32, 50]"
32,"[69, 32, 32]"
